brand_model,city,model,mileage_in_km,engine_in_cc,Transmission,price_in_lacs,brand_model_age,price_type,mileage_category,engine_mileage_interaction
KIA Sportage,Islamabad,2021,73000,2000.0,Automatic,71.0,3,Luxury,Low,146000000.0
Honda Civic,Lahore,2010,107000,1800.0,Automatic,22.0,14,Mid Range,Medium,192600000.0
Honda City,Islamabad,2004,219330,1300.0,Automatic,17.5,20,Budget,High,285129000.0
Toyota Raize,Karachi,2020,13500,1000.0,Automatic,61.9,4,Luxury,Low,13500000.0
Nissan Juke,Lahore,2012,148000,1500.0,Automatic,33.5,12,Mid Range,Medium,222000000.0
Toyota Prius,Faisalabad,2010,140000,1497.0,Automatic,32.0,14,Mid Range,Medium,209580000.0
Toyota Corolla,Lahore,2018,77000,1300.0,Automatic,44.5,6,Premium,Low,100100000.0
Suzuki Swift,Islamabad,2021,89800,1300.0,Automatic,35.0,3,Mid Range,Low,116740000.0
Honda Civic,Faisalabad,2017,75000,1800.0,Automatic,48.5,7,Premium,Low,135000000.0
Suzuki Alto,Karachi,2022,20138,660.0,Automatic,27.4,2,Mid Range,Low,13291080.0
Suzuki Alto,Islamabad,2003,200000,660.0,Manual,11.9,21,Budget,Medium,132000000.0
Honda Civic,Sialkot,2006,180000,1500.0,Automatic,21.0,18,Mid Range,Medium,270000000.0
Suzuki Alto,Islamabad,2010,150000,1000.0,Manual,13.5,14,Budget,Medium,150000000.0
Toyota Premio,Peshawar,2007,100000,1800.0,Automatic,35.0,17,Mid Range,Low,180000000.0
Suzuki Mehran,Lahore,2019,86000,796.0,Manual,15.6,5,Budget,Low,68456000.0
Toyota Prius,Islamabad,2008,165000,1500.0,Automatic,31.2,16,Mid Range,Medium,247500000.0
Toyota Platz,Faisalabad,2000,99999,1000.0,Manual,12.4,24,Budget,Low,99999000.0
Daihatsu Mira,Rawalpindi,2011,100000,660.0,Automatic,22.8,13,Mid Range,Low,66000000.0
Suzuki Mehran,Gujranwala,2010,45500,800.0,Manual,7.7,14,Budget,Low,36400000.0
Toyota Corolla,Rawalpindi,2009,200000,1300.0,Manual,19.3,15,Budget,Medium,260000000.0
Daihatsu Cuore,Lahore,2012,85000,800.0,Manual,12.8,12,Budget,Low,68000000.0
Toyota Corolla,Islamabad,2006,85000,1500.0,Automatic,18.5,18,Budget,Low,127500000.0
Suzuki Mehran,Islamabad,2015,50000,796.0,Manual,12.8,9,Budget,Low,39800000.0
Toyota Aqua,Karachi,2013,83000,1500.0,Automatic,33.2,11,Mid Range,Low,124500000.0
Toyota Corolla,Karachi,2016,67000,1300.0,Automatic,34.0,8,Mid Range,Low,87100000.0
Suzuki Bolan,Kallar Saddiyian,2021,52879,800.0,Manual,19.5,3,Budget,Low,42303200.0
Daihatsu Mira,Karachi,2021,15,660.0,Automatic,35.4,3,Mid Range,Low,9900.0
Toyota Vitz,Faisalabad,2014,86521,1000.0,Automatic,31.8,10,Mid Range,Low,86521000.0
Mitsubishi Mirage,Faisalabad,2014,81500,1000.0,Automatic,21.0,10,Mid Range,Low,81500000.0
Toyota Corolla,Rawalpindi,2015,125000,1300.0,Manual,29.9,9,Mid Range,Medium,162500000.0
Honda Civic,Karachi,2010,65000,1800.0,Manual,22.0,14,Mid Range,Low,117000000.0
Suzuki Alto,Islamabad,2023,20000,660.0,Automatic,29.9,1,Mid Range,Low,13200000.0
Toyota Passo,Islamabad,2007,104000,1000.0,Automatic,19.3,17,Budget,Medium,104000000.0
Daihatsu Move,Lahore,2016,78000,660.0,Automatic,27.9,8,Mid Range,Low,51480000.0
Suzuki Swift,Islamabad,2021,89800,1300.0,Automatic,35.0,3,Mid Range,Low,116740000.0
Honda Civic,Faisalabad,2017,75000,1800.0,Automatic,48.5,7,Premium,Low,135000000.0
Toyota Aqua,Karachi,2013,83000,1500.0,Automatic,33.2,11,Mid Range,Low,124500000.0
Suzuki Mehran,Karachi,2005,100000,800.0,Manual,5.5,19,Budget,Low,80000000.0
Suzuki Alto,Karachi,2022,20138,660.0,Automatic,27.4,2,Mid Range,Low,13291080.0
Daihatsu Cuore,Nowshera,2002,5555,660.0,Manual,5.0,22,Budget,Low,3666300.0
Toyota Corolla,Hyderabad,2010,10,1300.0,Manual,19.6,14,Budget,Low,13000.0
Toyota Corolla,Gujranwala,2016,83000,1300.0,Automatic,39.5,8,Mid Range,Low,107900000.0
Suzuki Alto,Lahore,2022,77000,660.0,Manual,24.0,2,Mid Range,Low,50820000.0
Honda City,Lahore,2012,157000,1300.0,Manual,23.4,12,Mid Range,Medium,204100000.0
Honda Civic,Islamabad,2011,93000,1800.0,Automatic,29.8,13,Mid Range,Low,167400000.0
Toyota Corolla,Islamabad,2006,119000,1500.0,Automatic,34.0,18,Mid Range,Medium,178500000.0
Daihatsu Cuore,Mirpur A.K.,2011,130000,800.0,Manual,14.0,13,Budget,Medium,104000000.0
Honda Civic,Multan,2014,140000,1800.0,Automatic,30.2,10,Mid Range,Medium,252000000.0
Suzuki Mehran,Islamabad,2007,22500,800.0,Manual,8.5,17,Budget,Low,18000000.0
Toyota Passo,Abbottabad,2020,79000,1000.0,Automatic,43.5,4,Premium,Low,79000000.0
Honda Civic,Rawalpindi,2006,77000,1500.0,Manual,15.7,18,Budget,Low,115500000.0
Toyota Corolla,Wah cantt,1992,1234,2000.0,Automatic,13.5,32,Budget,Low,2468000.0
Suzuki Cultus,Rawalpindi,2002,5,1000.0,Manual,8.0,22,Budget,Low,5000.0
Honda City,Islamabad,2016,82000,1300.0,Manual,31.4,8,Mid Range,Low,106600000.0
Honda Civic,Karachi,2013,95000,1800.0,Automatic,33.0,11,Mid Range,Low,171000000.0
Toyota Passo,Islamabad,2015,89000,1000.0,Automatic,29.5,9,Mid Range,Low,89000000.0
Suzuki Cultus,Lahore,2019,63000,1000.0,Manual,26.5,5,Mid Range,Low,63000000.0
Honda Civic,Lahore,2017,82000,1800.0,Automatic,49.7,7,Premium,Low,147600000.0
Honda Vezel,Islamabad,2014,95000,1500.0,Automatic,54.5,10,Premium,Low,142500000.0
KIA Sportage,Khanewal,2022,38500,2000.0,Automatic,78.2,2,Luxury,Low,77000000.0
